,train_loss,valid_loss,train_acc,valid_acc,train_auc,valid_auc
0,1.731957914306263,1.274433806058964,0.4166376670378619,0.5642524177276839,0.8777439999459029,0.9531181458868865
1,0.9228077071194303,0.9809160076203827,0.7025160077951003,0.6649620816809295,0.9639947719475093,0.9757287056634761
2,0.6966458131117572,0.8493164234004297,0.7714191258351893,0.7063243581715717,0.9784825862561317,0.9836582766799258
3,0.6063338328318149,0.7216172639277728,0.7991369710467706,0.7521394280943435,0.9834473628461919,0.9863209149049923
4,0.5558677493829548,0.6802890258450026,0.813256890311804,0.7626104501495861,0.9860302226772694,0.988070333397485
5,0.5198831076238529,0.6520683001357406,0.8250017399777283,0.7694635775412231,0.987591515323197,0.9891936008628489
6,0.49210179371518337,0.6043656571126139,0.8326141425389755,0.7840047310930216,0.9889637888793819,0.9903797498791899
7,0.46659518855656223,0.6237919594057787,0.839147758908686,0.778403951854171,0.9899922391099335,0.9911371457657309
8,0.44403575993786026,0.683994261036708,0.8451854816258352,0.7627495999443401,0.9910001646639113,0.991003302290756
9,0.42994867015654403,0.532136169926474,0.8495528257238307,0.802268141654491,0.9915221066259773,0.9920997263346067
10,0.4156900704052023,0.544155972658519,0.8533894766146993,0.8003200445279344,0.9921122040947601,0.9930214854493618
11,0.4018579847110863,0.4909251481869329,0.8579743179287305,0.8168788701036666,0.9925870167421631,0.9934934254716634
12,0.38997330678219677,0.544637310263013,0.8607756820712695,0.8030682529743268,0.9929794335667878,0.9935336462029281
13,0.3756019926818471,0.5588305747297632,0.8648994292873051,0.7968760871077715,0.9934896616990002,0.9938005790963687
14,0.37013604097677005,0.4898945323352088,0.8672135996659243,0.8150351353231754,0.9936732350278492,0.9941016418185706
15,0.3677466410073975,0.5401250639878565,0.8679095907572383,0.8039031517428512,0.9937637233135522,0.9939517703976759
16,0.35735449554183674,0.5398103481556955,0.8703803591314031,0.7989285465803938,0.9941258258548266,0.9942283668644618
17,0.35197126417465613,0.49179470027341854,0.8727641286191536,0.8115216030056356,0.9942299179411144,0.9946098345269544
18,0.3408292642880411,0.48139180642784496,0.8757046909799554,0.8170180198984206,0.9945616230332873,0.9945854775828942
19,0.33764776627223986,0.4691334663839848,0.8761483853006682,0.8191748417171084,0.9946367817898772,0.9946236328211696
20,0.3312810621444304,0.45720400406940515,0.8788714504454342,0.8242885966743199,0.9947817471255895,0.9950668388771798
21,0.32779467003368595,0.4383393379158543,0.879193346325167,0.8310025742712029,0.9948826073668005,0.9948663926099194
22,0.3245818811315563,0.4900343501498823,0.8810899220489977,0.8145133235928477,0.9949689402682674,0.9949115534815693
23,0.31728504828633636,0.41585561811609506,0.8838738864142539,0.8411605092882488,0.9952414411026356,0.9951148778031716
24,0.3144761522947653,0.47663027878232933,0.883856486636971,0.8174702567313713,0.995260908764395,0.995082635721318
25,0.3091899248514117,0.4247597480741949,0.8861010579064588,0.8394211368538231,0.9953959312205697,0.9950824927432985
26,0.30979036124027287,0.4963353175831586,0.8856486636971047,0.8057816739720309,0.9954273088558618,0.9951351954169678
27,0.3086535032860245,0.48191524819006754,0.8863359548997772,0.8131914005426842,0.9954443619396538,0.99542814854608
28,0.30384757640481164,0.44589423653324917,0.8873277422048997,0.8251234954428442,0.9956020102088768,0.9953406705610071
29,0.29826636433690573,0.4017570290337108,0.8896767121380846,0.8451610658874278,0.9956371262699809,0.9955296738400815
30,0.29786397471957293,0.42376017588614157,0.889929008908686,0.8366033535100535,0.9956662168015046,0.9954842003721817
31,0.29072485958839095,0.41506482019759916,0.8924258769487751,0.840499547763167,0.995835983334456,0.9956019855053808
32,0.2883250217665201,0.49827885508418956,0.893365464922049,0.8119390523898977,0.9958866494045019,0.9951829071468974
33,0.2860106080583941,0.4123857764313179,0.8932349665924276,0.838934112572184,0.9959993842181933,0.995767678860062
34,0.28116435945795276,0.42028255951335236,0.8965235244988864,0.8397342238920198,0.9960765671866605,0.9956351525187099
35,0.28246104479460815,0.4558904089752611,0.895575236636971,0.8208446392541571,0.996086094165061,0.995690850071071
36,0.2769722541190637,0.42517838180679873,0.896801920935412,0.8337159952689069,0.9962342835521362,0.9956958797705312
37,0.2761748958278974,0.45299226168593326,0.897680609688196,0.8280108536839909,0.9961991909868264,0.9956823408003943
38,0.2755798796971536,0.441891568882169,0.8967671213808464,0.832498434564809,0.9962631896571779,0.995591332510265
39,0.27263191090187,0.41608185770579786,0.8979764059020044,0.8406386975579211,0.9962977044747531,0.9958007524476881
40,0.27009117561143303,0.4125148243374515,0.9005689727171492,0.8396646489946428,0.9963305174275102,0.9958495730115012
41,0.2655369015792399,0.40936966244996476,0.9014476614699332,0.8424824323384122,0.9964460836068588,0.9958339174607737
42,0.26275346553425893,0.5142790227775278,0.9021958518930958,0.8075210464064565,0.9964667493287185,0.9955539271463538
43,0.26250247975356417,0.4395668456200626,0.9015172605790646,0.8318026855910388,0.9965475325960931,0.9957702561855742
44,0.25982319144798305,0.44253762267391267,0.903387736636971,0.8276281917484172,0.9965624446801445,0.9957773147961007
45,0.2609648749540497,0.4193757063539926,0.9031354398663697,0.8375426146246434,0.9965290800263072,0.9955742609854148
46,0.2575791098378852,0.4017627481227336,0.9036226336302895,0.8441174424267724,0.9966182457803974,0.9959319980948393
47,0.25716207862004614,0.43950206765010713,0.9044578229398663,0.8346204689348083,0.9966551462178685,0.9958736011687509
48,0.25325439277829986,0.39097547273613886,0.9067458936525612,0.8504139706393933,0.9967002743752429,0.9958925110777898
49,0.2534666038535776,0.47345309776303995,0.9044143234966593,0.8195227162039936,0.9967368614422403,0.9958757222011402
50,0.2523386518097351,0.4598201543684874,0.9062239003340757,0.8256105197244834,0.9967204798717996,0.9958659748413901
51,0.25132981564539747,0.42358756964888883,0.9074070851893096,0.8371947401377583,0.9967191866154259,0.9958508325750766
52,0.24626602619052515,0.4350059316784236,0.9081378758351893,0.8353857928059556,0.9968576461071599,0.9958522892107756
53,0.24687160082603804,0.4069755004601815,0.9070503897550112,0.8432825436582481,0.9968624266706857,0.9959362052909957
54,0.24402665490202674,0.4142377871540672,0.9092340618040089,0.8398733736867738,0.9969378136630229,0.9957191762605057
55,0.2421007336580056,0.4307935050293396,0.9087033685968819,0.8372295275864469,0.9969587028222089,0.9958738249736705
56,0.24289449848718503,0.3950239298714224,0.9100170517817372,0.8506226953315243,0.996959933823209,0.996079454485755
57,0.2387105554855583,0.41646170059266,0.9101127505567929,0.8388993251234954,0.997060069567361,0.9958473886658611
58,0.2366344215066381,0.40689630113528663,0.9117048301781737,0.8445348918110346,0.9970536375990374,0.9960344066946597
59,0.23382170924238072,0.386326068637187,0.9122616230512249,0.8521185556251305,0.9971229999210983,0.9960028225955266
60,0.2333532410771207,0.41671180426412996,0.912957614142539,0.841577958672511,0.9971486065785341,0.9958692985170018
61,0.23694028695647756,0.40525511727762925,0.9105303452115813,0.8498921589090656,0.9971044822680344,0.9958821272808133
62,0.23136620625203522,0.4090442119180566,0.9133230094654788,0.8473178877061156,0.9972015778534223,0.9960444431424311
63,0.23162830866660325,0.39127721782474095,0.9134448079064588,0.8529186669449662,0.9971537513514915,0.9958197833354586
64,0.23214417918083266,0.40197430961129194,0.9131055122494433,0.8475266123982467,0.9971555841379941,0.9959929063015761
65,0.23245974648631473,0.4024371954513552,0.913714504454343,0.8442218047728379,0.9971308763840401,0.9961212863436114
66,0.22859122708867843,0.41478389639559843,0.9140625,0.842934669171363,0.9972658382723114,0.9959322904324535
67,0.22611128674356976,0.3847131500173593,0.9149585885300668,0.8555625130452933,0.9972939194722089,0.9959667581018888
68,0.224477782143871,0.3917041845857538,0.9149324888641426,0.8527795171502122,0.9973253555398427,0.9961826426184399
69,0.22535472489530756,0.41973971103745833,0.9163418708240535,0.839073262366938,0.9972786022421151,0.9959707764979628
70,0.22519585132204795,0.3923172151145033,0.9151760857461024,0.848361511166771,0.9973094463489842,0.9960790409859759
71,0.2233900630359896,0.416685705894634,0.9158372772828508,0.8427259444792319,0.9973810050686329,0.9956572943951537
72,0.2223681670744507,0.403158378940163,0.9172031597995546,0.8473178877061156,0.9973611846264133,0.9960465882875008
73,0.22219820379750774,0.3824831963745101,0.9164810690423163,0.8532665414318514,0.9973788069741267,0.9960632868671849
74,0.21857059846923557,0.3960321567288838,0.9186125417594655,0.8523272803172616,0.9974332293872195,0.9960066206172832
75,0.21894512442123126,0.4216601923449999,0.91802964922049,0.8390384749182495,0.9974274332878407,0.9959113628249648
76,0.21982880123403403,0.38357578136853254,0.9176294543429844,0.8560147498782439,0.9974000971481196,0.9959392567362688
77,0.2185100511253825,0.4123912127729795,0.9180818485523385,0.846796075975788,0.9974275052554304,0.9958117802942685
78,0.21568666671056425,0.4277828838923405,0.9187430400890868,0.8383775133931678,0.997526777447957,0.9959727981066656
79,0.21512497837081096,0.4340497950487089,0.919708727728285,0.8384123008418563,0.9975152596323679,0.9959283247027758
80,0.21301283729917064,0.40526023466814876,0.9204308184855234,0.845648090169067,0.9975761596399322,0.9959425152938642
81,0.21394325075234977,0.39990061625164774,0.919073635857461,0.8525012175607041,0.997527717580428,0.9960157873778519
82,0.21345464772616118,0.397831357352322,0.9206831152561247,0.8504835455367703,0.9975127382100167,0.996187717487178
83,0.2115584316492513,0.41274481114839007,0.9205700167037862,0.8447784039518542,0.9975554736794904,0.9960548358541677
84,0.21012460535330726,0.3850200245867979,0.921344306792873,0.8558408126348014,0.9976379529530363,0.9960797551104758
85,0.2087654251632398,0.4128987882758389,0.9224143930957683,0.8439435051833298,0.9976274379383059,0.9960802787951535
86,0.20747396726676778,0.38553212292283795,0.9233365812917594,0.8574062478257845,0.9976162307652588,0.9960496799849575
87,0.2078816192252602,0.4014198225943721,0.9221446965478842,0.8496138593195575,0.9975867162464008,0.9960653253437468
88,0.20695785601431066,0.3927379636089391,0.9231451837416481,0.8542058025464413,0.9976355224093901,0.9960943766180391
89,0.20385118769405647,0.42842818606138106,0.9234583797327395,0.843143393863494,0.9977159455888653,0.9959222328102016
90,0.2099694979843639,0.40979258668328866,0.9212138084632516,0.8453697905795589,0.9975708218424132,0.9960388459772542
91,0.20867344005482055,0.38767522526168285,0.9222925946547884,0.8537535657134906,0.997599547132287,0.9960799001309046
92,0.20397596867106124,0.426073971607384,0.9248329621380846,0.8424476448897238,0.997708650734667,0.9960927728142293
93,0.20571566290324342,0.4020800058901045,0.9226840896436526,0.8516315313434912,0.997711812714946,0.9960792014651573
94,0.19949855163282798,0.3875687754145871,0.9258856486636972,0.8563974118138176,0.9978029010784544,0.9960502262432324
95,0.20034427277840072,0.40517845403575387,0.9259465478841871,0.850935782369721,0.997792000471126,0.996075684040292
96,0.20300067133782568,0.4107662129607285,0.9238933741648107,0.8457524525151325,0.9977308843766423,0.995731552876484
97,0.20040490190306898,0.40597349097149216,0.9260161469933185,0.8513532317539831,0.9977540467704518,0.9960445010218402
98,0.20163606513091434,0.4108205881864625,0.9250069599109132,0.8463090516941487,0.9977521490743028,0.995990648728964
99,0.20275825718927162,0.407335286960092,0.9234670796213809,0.8471091630139845,0.9977609239337,0.9959874973003444
100,0.2008846041366894,0.3895138130524671,0.9251635579064588,0.8536144159187365,0.9977774616243418,0.9960535636952532
101,0.19794910233023402,0.41639996440596005,0.9253984548997772,0.8457872399638211,0.9977876591199611,0.9958952608624316
102,0.19743019866716516,0.3885657421038876,0.9263554426503341,0.8570583733388993,0.9978259207766774,0.996043871120659
103,0.1955249013576638,0.3974030936337943,0.9277213251670379,0.8559799624295554,0.9978523061951649,0.9960834097870593
104,0.19735598581748232,0.3962092732347135,0.926886135857461,0.8531969665344744,0.9978564022604376,0.9960950537242533
105,0.19617984286749127,0.39579119997975565,0.9267382377505567,0.8547971891741459,0.9978648531956933,0.9961780530793531
106,0.1976630017884021,0.3913772064027865,0.9268774359688196,0.857441035274473,0.9977984370600316,0.9960409977777435
107,0.19597635742020078,0.411270359167772,0.927416829064588,0.8452306407848048,0.9978370840416311,0.996063568885404
